序号,作者昵称,讨论标题,回应数,帖子网址
383,喜欢背单词,我们组five的主要失败原因是不是专业？,62,https://www.douban.com/group/topic/180183827/
384,thy某田,从社会工作的角度分享一些技能,32,https://www.douban.com/group/topic/180376088/
385,William先生,可不可以不自称TOP5或10,34,https://www.douban.com/group/topic/180490685/
386,我愿长醉不复醒,李涛，我们组是不是要红了,71,https://www.douban.com/group/topic/179341904/
387,衣裳薄,学医感觉把这辈子搭进去了,230,https://www.douban.com/group/topic/179076675/
388,ColinFinch,看到手机使用时间真的当场自闭,73,https://www.douban.com/group/topic/179348411/
389,江湖骗子,大家进来说说自己后悔没选的学校or专业，过来人也来分享一下槽点，互相拔草，消除悔恨。,523,https://www.douban.com/group/topic/178564203/
390,无名杰克波士顿,本five的毕业证学位证照片像一个社会杀马特会遇到求职偏见吗（惨变哈帖）,35,https://www.douban.com/group/topic/180500063/
391,春日冬眠,凭什么985吐苦水就要被人说矫情？,3,https://www.douban.com/group/topic/181026653/
392,大菠萝,大家可以不要接受采访吗？（已更）,156,https://www.douban.com/group/topic/178163044/
393,Eufueori,长文、分享 | 数学系five的经历与心路历程,222,https://www.douban.com/group/topic/178559753/
394,郑no.,所以，今年高考成绩出来以后，我们组会成为志愿咨询小组吗，突然感到窒息。,42,https://www.douban.com/group/topic/180345688/
395,愔夔,求骂醒 | 从刚入学心比天高到现在年级中游一事无成，并且越来越离不开手机...,87,https://www.douban.com/group/topic/179513956/
396,吃土小能手,用四个字形容写论文时的你,148,https://www.douban.com/group/topic/179492338/
397,叭叭叭,有和我一样觉得自己five和原生家庭有关的小镇做题家吗,17,https://www.douban.com/group/topic/180965235/
398,nbcs,有无学车的five？,74,https://www.douban.com/group/topic/179971156/
399,芙兰朵露,我觉得新闻专业真的很坑,116,https://www.douban.com/group/topic/179398457/
400,momo,为什么总说性格决定命运，难道不是命运先决定了性格？,36,https://www.douban.com/group/topic/180262375/
401,cccccmilla,发这个应该没问题吧..入组一天的感受..,14,https://www.douban.com/group/topic/180978268/
402,普鲁斯特起床了,过来人进了这个组很有倾诉欲忍不住说几句,35,https://www.douban.com/group/topic/179607565/
403,NowhereMan,是不是真的一些双非甚至二本三本的考研上岸率反而更高…,134,https://www.douban.com/group/topic/179371196/
404,黑皇,在社科中寻找自洽的five,70,https://www.douban.com/group/topic/179412972/
405,李健,有喜欢的人大概就可以成为一个鸡血five,82,https://www.douban.com/group/topic/179372874/
406,失业失恋five,有条件的话，大家可以接受一直读一直读一直读么？,195,https://www.douban.com/group/topic/178988207/
407,云枕青,李涛一下上海大学？,104,https://www.douban.com/group/topic/179767412/
408,十里寂,five自救打卡——谁说年纪大了不能追梦了,13,https://www.douban.com/group/topic/180993117/
409,按命分配,高考填报闲聊,119,https://www.douban.com/group/topic/179376920/
410,已注销,【祈福+许愿🙏集中楼】想上岸🙏想的睡不着,57,https://www.douban.com/group/topic/180173698/
411,安妮老板,劝退想通过跨考心理学硕士跳脱天坑专业的朋友,18,https://www.douban.com/group/topic/180813696/
412,江湖骗子,“如果一个评价体系中大多数人都失败了，那需要反思这个评价体系”,26,https://www.douban.com/group/topic/179475116/
413,不吃大蒜,末流985天坑专业前途渺茫,16,https://www.douban.com/group/topic/180802181/
414,金智仁,视奸的自媒体进来,64,https://www.douban.com/group/topic/179122213/
415,QWER,有几个父母把小孩养大真的是完全没有私心的？？？,139,https://www.douban.com/group/topic/179256709/
416,已 注 销,一些小编为什么总喜欢sj本组,19,https://www.douban.com/group/topic/180758106/
417,Terence,你们都喜欢听摇滚乐喜欢看live 看音乐节吗,171,https://www.douban.com/group/topic/179279121/
418,Page,写给刚毕业的你（非鸡汤，经验帖）,44,https://www.douban.com/group/topic/179953687/
419,明天也没有帕尼,不是“社恐”而是“社烦”,22,https://www.douban.com/group/topic/180613533/
420,umaso,(新增投票)大家想一直读书不工作吗？不考虑生计的话想读什么专业呢？,136,https://www.douban.com/group/topic/179010921/
421,蔡费尔,二战失败的five的自我反思,2,https://www.douban.com/group/topic/181743359/
422,🐰,一点思考：是不是有些困难只是自己潜意识不想迈过去而已,10,https://www.douban.com/group/topic/181023015/
423,Univer_Gao,对不起打扰了，我不是985｜211的学生,7,https://www.douban.com/group/topic/181248680/
424,已注销,我妈说我脑子进水了,28,https://www.douban.com/group/topic/180514577/
425,南斗星君,985人才引进计划（隔壁组），无非是还没有认清现实而已，早晚有一天，还是沦为five。,46,https://www.douban.com/group/topic/180194564/
426,己注销,实不相瞒，我17号进组，19号就开始收到豆瓣的精准营销了,26,https://www.douban.com/group/topic/180611207/
427,快乐five好难,如果可以重新选专业 你还会成为five吗,46,https://www.douban.com/group/topic/180243562/
428,Moshi,求你们了  不five的不要发帖说自己five,10,https://www.douban.com/group/topic/180830506/
429,April,有一个疑问，文科转码能找到工作吗？能的话我就继续学了,16,https://www.douban.com/group/topic/180886470/
430,碲琉璃,发现我爸妈对时代的未来充满希望但是我完全理解不了他们为什么那么乐观,19,https://www.douban.com/group/topic/180418071/
431,碲琉璃,这个时代的发展实在是太快也太难预测了,7,https://www.douban.com/group/topic/181108414/
432,Fixing,有没有投了巨多简历但还没找到实习的朋友,96,https://www.douban.com/group/topic/179587329/
433,夜深人静,商科之我见,13,https://www.douban.com/group/topic/181096712/
434,京都鱼饼汤-,激情开帖说说女生生发的二三事！,61,https://www.douban.com/group/topic/179565800/
435,放下,一点也不想写论文咋办,11,https://www.douban.com/group/topic/181092575/
436,咸导致极限挑战,见到组内截图在外面被嘲 心情有些复杂🆘,75,https://www.douban.com/group/topic/179613670/
437,郁子宥,今天突然放弃了找暑期实习，突然一下子感觉生活又美好了,27,https://www.douban.com/group/topic/180239206/
438,滑盖棺材,其实大家只是对“985名校”有了过多的期待吧,42,https://www.douban.com/group/topic/179262949/
439,/,大家都是以什么心态面对那种很多人竞争一两个名额的机会啊,54,https://www.douban.com/group/topic/179996649/
440,冰皮大可爱,好讨厌体育，为什么要体测...（一个five的自救碎碎念）,46,https://www.douban.com/group/topic/179957555/
441,豆友189528237,关于去日本读研和找工作这件事说说自己的看法,43,https://www.douban.com/group/topic/179849612/
442,Liquor,985本接受调剂211硕……,141,https://www.douban.com/group/topic/179051155/
443,梦吃了那女孩,某师中文系毕业，不想当老师成为了我最大的罪,126,https://www.douban.com/group/topic/179271915/
444,天使名为李一桐,即使作为废物也有活下去的尊严和权利——这不就是人类文明发展至今最让我们引以为傲的硕果吗？,4,https://www.douban.com/group/topic/180933280/
445,豪安,一个five的复盘反思,7,https://www.douban.com/group/topic/181272788/
446,神志不清游小北,有没有过度沉迷小说的，，,213,https://www.douban.com/group/topic/178835118/
447,future,five们不要再垂头丧气咯🤗,35,https://www.douban.com/group/topic/179781756/
448,安妮老板,本组有知道或者关注弗兰克杨的嘛,26,https://www.douban.com/group/topic/181188867/
449,爷青不结,有没有恋爱直接促成five的,6,https://www.douban.com/group/topic/181299961/
450,恐异性恋,虽然自己二十多岁了但是还觉得自己才十五六岁 有没有人和我一样,15,https://www.douban.com/group/topic/180656684/
451,TINAEARTH,🏳️‍🌈lgbt five是不是更没有退路,103,https://www.douban.com/group/topic/179066980/
452,土豆煸牛肉,【高考志愿科普第一弹】听说新闻无学？看看学了什么？,25,https://www.douban.com/group/topic/179807661/
453,我总是吃好撑,five混到了博士怎么读下来,8,https://www.douban.com/group/topic/181152742/
454,江湖骗子,给考公的朋友们一点建议,257,https://www.douban.com/group/topic/178352632/
455,博物君🌎,《高校奇葩老师·人物画像》,9,https://www.douban.com/group/topic/181114089/
456,KatherineH,一边写自我陈述一边哭,17,https://www.douban.com/group/topic/180033816/
457,Intangile,名校学生为什么要转入一本三本。你身边有转学退学的人吗？为什么要转学？,131,https://www.douban.com/group/topic/178959801/
458,江湖骗子,删,89,https://www.douban.com/group/topic/179420035/
459,眉毛长得很好,为什么我觉得2021届才最惨,66,https://www.douban.com/group/topic/179668882/
460,滅びの美が嫌い,中青报那篇前浪味真是太重了,13,https://www.douban.com/group/topic/180519403/
461,风口上🐷都会飞,去年在帝都食宝街看到两个人西装革履的年轻人一人一罐啤酒坐在偏僻的草坪上哭，感叹时运不济，命途多舛。,30,https://www.douban.com/group/topic/180289807/
462,懒羊羊 ୧⍢⃝🥗,写论文太痛苦了,12,https://www.douban.com/group/topic/180877202/
463,momo,没有爱好，导致没动力上进，甚至想不通活下去的必要在哪,72,https://www.douban.com/group/topic/179633378/
464,团团蜗牛,删,132,https://www.douban.com/group/topic/178806451/
465,廖琛,4个小镇做题家的掏心掏肺：混成废柴，so what？,12,https://www.douban.com/group/topic/180870271/
466,都会好起来的,我是怎么好起来的（第二辑）,8,https://www.douban.com/group/topic/180686454/
467,匿名人,30多的已脱坑大叔介绍一下自己的经历,181,https://www.douban.com/group/topic/178341247/
468,d梅兄b,夜深了，想听霓虹的大师讲经吗,22,https://www.douban.com/group/topic/180371342/
469,wyh196646,了,30,https://www.douban.com/group/topic/179958216/
470,没有一点点,谢谢大家每一条宝贵的意见,116,https://www.douban.com/group/topic/179309692/
471,薛定谔的lv,搜狐城市有点敢说，并怼了中中青报,5,https://www.douban.com/group/topic/181070894/
472,遛弯大姐,i废们有npy吗，tla的欲望强不强,191,https://www.douban.com/group/topic/179010346/
473,10个字,讨论&咨询 如果目标是公务员 那还要不要考研呢,17,https://www.douban.com/group/topic/180663096/
474,千反田爱我,说说名校垫底学渣的大学经历,9,https://www.douban.com/group/topic/180681465/
475,嗑颜人士,有没有和我一样，遇到事的时候特别焦虑绝望，过去了之后又觉得这算个屁？,10,https://www.douban.com/group/topic/180831590/
476,已注销,大家每天了解资讯的方式是啥？人民日报？抖音？,118,https://www.douban.com/group/topic/179350302/
477,Drifter,学渣溺水浮沉不放弃自救...的故事,12,https://www.douban.com/group/topic/180403980/
478,黑黑绿绿稻草人,大家会经常踩deadline吗？,135,https://www.douban.com/group/topic/179222325/
479,燈影牛肉,有人不喜欢自己的大学生活吗,48,https://www.douban.com/group/topic/179923769/
480,Yuu,是不是我国很多父母都是pua式教育,256,https://www.douban.com/group/topic/178313672/
481,宁馨儿,突然理解了作为小镇做题家的丈夫,231,https://www.douban.com/group/topic/178074461/
482,江湖骗子,为什么家长过度关注的孩子容易得抑郁症？,8,https://www.douban.com/group/topic/181020169/
483,时命乃大谬,报，我组上新周刊和界面文化了。,118,https://www.douban.com/group/topic/179107503/
484,人间奇异果,组员们会有“十年来，深恩负尽，死生师友”之感吗,7,https://www.douban.com/group/topic/180587530/
485,啦啦啦啦啦啦,有没有每天心情都很平淡或略消沉的，怎么才能有感情起伏啊,31,https://www.douban.com/group/topic/180055078/
486,成蹊,百威商赛来啦，有小伙伴愿意一起嘛？,54,https://www.douban.com/group/topic/179765682/
487,umaso,看到隔壁调查高校，双鸭山c位，难道本组中大five最多？😂,255,https://www.douban.com/group/topic/178479866/
488,绿葡萄架,【高考志愿科普第一弹】🔥通信工程专业都学什么？（首版）,86,https://www.douban.com/group/topic/179232097/
489,安鸣雨,你们对对象学历有什么想法吗。。比如高中毕业大学退学那种,96,https://www.douban.com/group/topic/179331553/
490,没有人,既然组里含🦆量这么高,13,https://www.douban.com/group/topic/180730984/
491,二爹小酱子,关于我组出圈有点建议想说,76,https://www.douban.com/group/topic/179140569/
492,里里,删,75,https://www.douban.com/group/topic/179582347/
493,指导性意见,微博很多博主是不是故意挑拨对立，为了吃饭？,13,https://www.douban.com/group/topic/180559998/
494,好好努力,知名211毕业，现在在当淘宝主播，是不是浪费学历了……,545,https://www.douban.com/group/topic/177502026/
495,已注销,总结了一些five的成因,54,https://www.douban.com/group/topic/178900926/
496,樱樱子,fiver的经历其实都殊途同归,28,https://www.douban.com/group/topic/179198018/
497,莫小宝,给还在本科阶段的小可爱five们一些建议,56,https://www.douban.com/group/topic/178761129/
498,Vigilante001,变成five另一个主要原因是体力不行吧,5,https://www.douban.com/group/topic/181149659/
499,lululucas,想问问会计现在就业咋样啊,137,https://www.douban.com/group/topic/179114026/
500,走得安详……,私以为five组的成员素质和氛围比其他一些大组要好一点,118,https://www.douban.com/group/topic/178841298/
501,似流水丁仪,【高考志愿科普第N弹】朋友，一起来种草伐？,12,https://www.douban.com/group/topic/180752506/
502,Yuu,看到很多同学觉得面试演讲比较困难，大家想看相关分享吗？,62,https://www.douban.com/group/topic/178465653/
503,夜深人静,人们只相信自己愿意相信的——论“小镇做题家”的走出去,5,https://www.douban.com/group/topic/181252298/
504,林同学,2020Fall去不了美国找出路的,327,https://www.douban.com/group/topic/178437898/
505,人工智障蛋酱🍳,five们有吃西南交通大学的改成绩保研中科大的🍉吗？,32,https://www.douban.com/group/topic/180056231/
506,Reveiiiii,小县城出身，没背景的或许最好的就是回小县城或者地级市,230,https://www.douban.com/group/topic/178470585/
507,cheeerry,国内末流985,372,https://www.douban.com/group/topic/178389786/
508,你骂我就拉黑你,five求救,19,https://www.douban.com/group/topic/180477707/
509,홍워,top2本考研中游985硕,215,https://www.douban.com/group/topic/178209814/
510,粒,面对平庸是艺术美学,13,https://www.douban.com/group/topic/180364568/
511,已注销,21届five研究生感慨为啥当初不赶紧嫁人生孩子,28,https://www.douban.com/group/topic/180245731/
512,无敌的第一,难道能力的高低就是评判一个人的标准吗,29,https://www.douban.com/group/topic/179656094/
513,小心心,学一点也比不学好,25,https://www.douban.com/group/topic/179401944/
514,废物如我还活着,我该花这个1w2参加这个项目吗？,85,https://www.douban.com/group/topic/179400419/
515,心累,今年毕业还没找到工作的有吗……,7,https://www.douban.com/group/topic/180987311/
516,尤南,其实我认为人格测试挺准的,88,https://www.douban.com/group/topic/178889486/
517,全麦酸奶,60后爸爸比我更像祖国的栋梁,10,https://www.douban.com/group/topic/180622311/
518,豌豆先生,条条大路通five，不可一概而论,10,https://www.douban.com/group/topic/180686724/
519,不介意过期,被数学挂住的我,70,https://www.douban.com/group/topic/179282001/
520,SueG,连做题家都不是的five举个手。,10,https://www.douban.com/group/topic/180472196/
521,半熟芝士,保持安静,18,https://www.douban.com/group/topic/179296437/
522,之之,今年真的这么难找工作吗？？？以及实习如果去了小公司是不是会对之后秋招有影响啊,37,https://www.douban.com/group/topic/180021868/
523,王岷,面试前一天看到财务岗的名单 卷不动了,13,https://www.douban.com/group/topic/180507670/
524,tsin,草东没有门票,17,https://www.douban.com/group/topic/180417583/
525,司空,观某节目有感 有没有985的姐妹想走选秀爱豆or网红这种？,340,https://www.douban.com/group/topic/178193471/
526,阿废,强迫自己振作(鸡血)的废物自救记录贴,18,https://www.douban.com/group/topic/180254056/
527,平平无奇小天才,【高考志愿科普第一弹】🔥会计&财管就是记账吗？,38,https://www.douban.com/group/topic/179507086/
528,Desein,贴一篇耶鲁教授的演讲——为什么很多人从名校毕业却庸庸碌碌,22,https://www.douban.com/group/topic/178809295/
529,只搞帅的,985中文，日本读研中，聊聊自己在five边缘仰卧起坐的心路和现在的就职焦虑（6.4更新日本留学相关）,139,https://www.douban.com/group/topic/178651469/
530,Le Flaneur,吐槽&经历 | 写给小镇做题家们的一封信,227,https://www.douban.com/group/topic/177140856/
531,亲一口小胖猫,985废物组已经变成985咨询组……,33,https://www.douban.com/group/topic/178756920/
532,虫虫,作为家里唯一的985/211大学生是什么体验？,13,https://www.douban.com/group/topic/180601370/
533,已注销,大家有印象深刻的陌生人给予的温暖吗？🔆,53,https://www.douban.com/group/topic/179629363/
534,椰子,分享一下英语学习经验,50,https://www.douban.com/group/topic/178315958/
535,wonderLand,小镇做题家的未来,3,https://www.douban.com/group/topic/181218942/
536,奇点,农村985是如何把自己一步一步玩儿废的,17,https://www.douban.com/group/topic/180377824/
537,罗宾星,光明网点评“小镇做题家”,9,https://www.douban.com/group/topic/180789385/
538,是馒头啊,总结一下成five的原因,3,https://www.douban.com/group/topic/181213802/
539,Josie,我恨小组作业 社恐噩梦,14,https://www.douban.com/group/topic/180455262/
540,豆豆,对任何事都没有兴趣,17,https://www.douban.com/group/topic/180367077/
541,梨,最近跟大学室友互相打卡，学习+运动，结果……,10,https://www.douban.com/group/topic/180616756/
542,凰蕼,当我们说自己five的时候可能是因为我们模拟了一个“成功”的范本,32,https://www.douban.com/group/topic/179094098/
543,旺旺雪饼,怎么能有人一次大创都过不了啊,47,https://www.douban.com/group/topic/179748862/
544,妄自菲薄_,孤注一掷放手一搏工科转艺术却被现实按在地上摩擦的five,97,https://www.douban.com/group/topic/179104395/
545,江湖骗子,【投票】好奇组里的LGBT🏳️‍🌈多吗？,104,https://www.douban.com/group/topic/179200035/
546,赵客缦胡缨,有人想要听听快消公司的面经吗？从面试官角度出发的那种,105,https://www.douban.com/group/topic/177757218/
547,towns,清北都在玩降纬度打击，咱985玩个毛？,61,https://www.douban.com/group/topic/179541713/
548,按命分配,大家是怎么看待小组已经火出圈的，外面这样看小镇做题家,59,https://www.douban.com/group/topic/179515132/
549,一个卡贴,大伙的multi-tasking能力都怎么样？,65,https://www.douban.com/group/topic/179386396/
550,无心插柳柳橙汁,你们会打心底里厌恶自己的学校吗？,212,https://www.douban.com/group/topic/178605878/
551,你喜欢养猪吗,小镇非做题家真末流985保研失败出国拿不到offer每天被父母PUA,136,https://www.douban.com/group/topic/178658803/
552,Dorae,如果可以回到过去填报志愿的那个时刻，大家会怎么劝自己？,199,https://www.douban.com/group/topic/178411544/
553,消消宁,【吐槽/经历】985本科，双非研究生，谈谈985之后的崩溃与失落,117,https://www.douban.com/group/topic/178600846/
554,QWER,你们有没有那种持续好几年什么都不想做的心情吗。,155,https://www.douban.com/group/topic/178360308/
555,好没道理啊,大家会觉得自己的人生一直在走下坡路吗,118,https://www.douban.com/group/topic/178606932/
556,林同学,【征友专用楼】不再成为形单影只的FW,1134,https://www.douban.com/group/topic/177350877/
557,李青桐,既然活着这么辛苦，为什么还要活着呢,136,https://www.douban.com/group/topic/178926659/
558,林檎,各位five们 请告诉我你们今天打算干什么 让我学学,137,https://www.douban.com/group/topic/178828162/
559,成色,大家有没有想过自己晚熟总后知后觉是因为什么,66,https://www.douban.com/group/topic/179247756/
560,瓜瓜,不仅是98five，还是98fat，淦,3,https://www.douban.com/group/topic/180985707/
561,Cupboard,在一个公众号看到关于985 five小组的讨论后的感想,16,https://www.douban.com/group/topic/179243581/
562,朝夕朝夕爱学习,组里有wsn私信,57,https://www.douban.com/group/topic/179299600/
563,🥢,有没有文科学了金融的同学来聊聊，怎么自救,18,https://www.douban.com/group/topic/180324298/
564,五更风,大家对大学集体生活的回忆怎么样,47,https://www.douban.com/group/topic/179652001/
565,不想看论文了,有npy理工科自己是文科的five吗,36,https://www.douban.com/group/topic/179948302/
566,仓鼠啃花椒,谢谢大家的意见,50,https://www.douban.com/group/topic/179389857/
567,蛆(广告位招租),无内鬼，倒点垃圾给大家exex,61,https://www.douban.com/group/topic/179103700/
568,[已注销],排名真的意义不大,37,https://www.douban.com/group/topic/179591700/
569,怀特还好,有一个纪录片是哈佛天才unabomer变反社会的,8,https://www.douban.com/group/topic/180749767/
570,persistence,认真地说，财务专业最好的出路是不是体制内,111,https://www.douban.com/group/topic/178784790/
571,已注销,小语种five的转行上岸之路,36,https://www.douban.com/group/topic/179818032/
572,已注销,删,165,https://www.douban.com/group/topic/178770263/
573,笛笛江,今天下午刚知道公务员考试报名截止时间是上午8点,9,https://www.douban.com/group/topic/180657663/
574,白飘飘,本组是废物组，不是精英未来选择咨询组(再次更新),173,https://www.douban.com/group/topic/177730143/
575,Letitia,要被家人的期待压垮了,8,https://www.douban.com/group/topic/180683660/
576,月光倾城,2,23,https://www.douban.com/group/topic/180177535/
577,注销,应届生入职第一天就辞职,115,https://www.douban.com/group/topic/178374121/
578,丙丙s,我妈逼我一年6门cpa我每天都想吐,148,https://www.douban.com/group/topic/178658421/
579,阮苏,写文狗屁不通的白晶晶小姐你是不是觉得自己一身爹味非常高贵,5,https://www.douban.com/group/topic/180524632/
580,任国超,性格决定了我是个彻彻底底的废物,15,https://www.douban.com/group/topic/180148950/
581,srds,大家有没有试图和家人说过自己的现状,130,https://www.douban.com/group/topic/178781179/
582,APOPHIS,网贷真的好可怕，我的眼前一片漆黑,353,https://www.douban.com/group/topic/177809082/
583,动物出没,985学生陷入困境的绝大多数都是小镇做题家,766,https://www.douban.com/group/topic/176314524/
584,循礼而不逾规矩,分享&打卡 | pair programming 关于编程困扰的或许可行的解决方案（或者是想要转CS相关的）,82,https://www.douban.com/group/topic/178871729/
585,都会好起来的,发现peer pressure的一个好处,35,https://www.douban.com/group/topic/179775766/
586,吉利丁,没有目标和自制力的人在大学容易垮掉,56,https://www.douban.com/group/topic/178598240/
587,谬可ichigo,是不是高中文科five占比比较大,81,https://www.douban.com/group/topic/179210422/
588,风口上🐷都会飞,给大家安利一部豆瓣9.7的真实纪录片，讲述底层人民的真实生活，叫 《最后的棒棒》相信大家看了以后会对生活有180度的转变。,8,https://www.douban.com/group/topic/180353890/
589,大菠萝,发现这个组我好感动,146,https://www.douban.com/group/topic/177499271/
590,基督山伯爵,想问问组里学财务的朋友们 你们真的喜欢这个专业吗,98,https://www.douban.com/group/topic/178775046/
591,Gabriel,我连小镇做题家都不是，我来自山村,1,https://www.douban.com/group/topic/181233151/
592,［已注销］,有没有人想要往上走的一个重要原因，是想离开家,49,https://www.douban.com/group/topic/178919602/
593,花醉三千,我妈已经主动给我推荐five组了,11,https://www.douban.com/group/topic/180290484/
594,KatherineH,虽然我很不想活在这个世界上 但来都来了,4,https://www.douban.com/group/topic/180915584/
595,杜小夹,不想努力不敢努力不会努力的five前来报道,5,https://www.douban.com/group/topic/180828687/
596,叶青,面试发现公司CEO是自己高中学长,11,https://www.douban.com/group/topic/180373951/
597,想吃辣白菜,看到那个作弊被发现然后自杀的学生有感,52,https://www.douban.com/group/topic/179338244/
598,脸滚键盘653794,成绩后10%的98five们都怎么样了,54,https://www.douban.com/group/topic/179433259/
599,德森夜上海,【高考志愿科普第一弹】🔥 临床医学专业都学什么？,44,https://www.douban.com/group/topic/179252835/
600,右老师睡着了,【高考志愿科普第一弹】🔥物理学专业到底在学什么？,17,https://www.douban.com/group/topic/179676681/
601,Vinci,在本组一口一个咎由自取的人,35,https://www.douban.com/group/topic/179378651/
602,柏褐,怎样摆脱过去做错事带来的痛苦,2,https://www.douban.com/group/topic/181086188/
603,阿西先生,十年来我所见的高校招聘的学历变迁过程。,194,https://www.douban.com/group/topic/177370817/
604,🌚,学电子太难了,77,https://www.douban.com/group/topic/179170864/
605,我爱小胖子112,华工就业率太真实了,70,https://www.douban.com/group/topic/179081772/
606,只想默默潜水,太惨了，现在我连吃10块钱鸡柳的钱都没有,16,https://www.douban.com/group/topic/180231241/
607,你看不见我,有点好奇大家MBTI都测得什么，朋友们投一下票吧🙈,80,https://www.douban.com/group/topic/178959113/
608,大菠萝,推荐大家做做disc测试,74,https://www.douban.com/group/topic/178855238/
609,江浸月,最近本组的命运，让我想起很多年前的“父母皆xx”小组,27,https://www.douban.com/group/topic/179613238/
610,模糊的企鹅,有没有人觉得自己是five的理由和外界的期待毫无关系 而只是因为我令我自己失望了,12,https://www.douban.com/group/topic/180090405/
611,可乐不可爱,媒体狗来说说为什么会有那么多媒体来关注这个组,2,https://www.douban.com/group/topic/180681723/
612,三木爹,勇敢面对自己的焦虑情绪——读《身份的焦虑》有感,1,https://www.douban.com/group/topic/181133065/
613,Hazel!,这两天新出台了一个本科毕业生可再读两年本科的政策,121,https://www.douban.com/group/topic/178272500/
614,solo艺人郑容和,音乐安利，来分享你喜欢的歌吧~,63,https://www.douban.com/group/topic/179297039/
615,海淀区桂纶镁,好丧啊，昨天去面试面完主管问我为什么6月才开始找工作，我说之前在忙毕设，他很疑惑说毕业不是随便糊弄一篇论文就行了吗,3,https://www.douban.com/group/topic/180739194/
616,萱萱萱萱萱dolly,今天我被导师PUA了嘛？,7,https://www.douban.com/group/topic/180281549/
617,此系,文科专业985本双非研找同盟,47,https://www.douban.com/group/topic/179501931/
618,🥚🐣🐥🐤🐔,有没有和我一样的跑路爱好者,100,https://www.douban.com/group/topic/178457631/
619,银河系搭车客,【高考志愿科普第一弹】食品科学与工程在学什么,33,https://www.douban.com/group/topic/179597251/
620,勃列日涅夫,后来我也想明白了，6000块一年，还要啥自行车？,15,https://www.douban.com/group/topic/180217397/
621,我知道你是谁,自身经历+心理学分析five如何自救（心法篇）,61,https://www.douban.com/group/topic/178405351/
622,[已注销],唠一唠非做题家废物,217,https://www.douban.com/group/topic/177612913/
623,ge ge ge ge ge,分享一下我如何让自己不再自卑！,13,https://www.douban.com/group/topic/179640659/
624,cantfindaname,20年应届迷茫本茫,41,https://www.douban.com/group/topic/179537676/
625,小猫兔,。删了不想被看到了,130,https://www.douban.com/group/topic/178324931/
626,豆友202938240,问一下你们没事的时候关注娱乐圈吗？喜欢算命吗,153,https://www.douban.com/group/topic/178624112/
627,秋毫,top2 文科毕业，请教一下，文科生毕业有什么比较好的出路吗,188,https://www.douban.com/group/topic/178164487/
628,莫小宝,心理医生说自律和自尊成正比,160,https://www.douban.com/group/topic/178379104/
629,来自星辰大海,我愚蠢的理想主义✦你有没有一直想实现但是不敢说出来的梦想？,197,https://www.douban.com/group/topic/178372944/
630,牛肉拌面,我想和你读同一本书,37,https://www.douban.com/group/topic/179419472/
631,江湖骗子,毕业2年，一直想考公务员没考上，想读研了，有中国政法大学的朋友吗？,29,https://www.douban.com/group/topic/179770881/
632,thy某田,大二社科转软工新人聊聊个人经历,13,https://www.douban.com/group/topic/180159324/
633,山竹,大学四年荒废，毕业两年无业，现在前途迷茫......,77,https://www.douban.com/group/topic/178440658/
634,滅びの美が嫌い,想就如何脱单，以及谈恋爱看不看对方学历，这两问题谈谈自己看法。,20,https://www.douban.com/group/topic/179973001/
635,输入昵称,有没有本组er后悔没有读计算机专业？,95,https://www.douban.com/group/topic/178881809/
636,Acan🍉,有和我一样的论文缝合怪吗？,58,https://www.douban.com/group/topic/179161132/
637,周润明,投了20+产品岗暑期实习，连面试通知都没有，sad。,117,https://www.douban.com/group/topic/178652918/
638,濑良小韭菜,five们有没有听过草东的《大风吹》?感觉跟我的生活很像,24,https://www.douban.com/group/topic/179854955/
639,望瀛,情绪不好有可能是食物不耐受,10,https://www.douban.com/group/topic/180355646/
640,吃点甜品压压惊,我是应届毕业生。我毕业了，报名了一个理发班，人生新阶段，从头开始。,52,https://www.douban.com/group/topic/178883570/
641,来自星辰大海,摆地摊卖点什么好？（非常认真严肃的提问）,66,https://www.douban.com/group/topic/178617210/
642,future,大家有想过做学习博主吗,70,https://www.douban.com/group/topic/179107670/
643,Jabberwocky,语文免师，不想当老师，想做美术或时尚相关行业可行性大概怎样,83,https://www.douban.com/group/topic/179009187/
644,已 注销,小小声说，精力不济有可能是身体原因,138,https://www.douban.com/group/topic/177815364/
645,江湖骗子,妈妈说一楼的孩子上大专现在都在新一线买房了，我只好说,25,https://www.douban.com/group/topic/179764230/
646,阮苏,恰烂钱的自媒体写手记者是来组里挣火化费还是棺材钱的？,10,https://www.douban.com/group/topic/179730179/
647,persistence,睡不着写点鸡汤…当大家觉得撑不下去的时候，要记得，别人也一样,5,https://www.douban.com/group/topic/180378138/
648,吧唧一口肉松,“失败的人”如何生活,25,https://www.douban.com/group/topic/179412028/
649,江湖骗子,攒人品试试，学弟学妹有什么不想踩的坑可以问一下本经管废物因为我帮你们踩过啦,12,https://www.douban.com/group/topic/179987281/
650,小Aac,很想说话，也想有人听我说话,12,https://www.douban.com/group/topic/180238654/
651,洋葱小鱿,有没有掉发er分享一下防脱生发的心得,36,https://www.douban.com/group/topic/179525290/
652,小酒酿圆子,一位典型five的反省：five早点表现出来能够早补救叭……未必完全是坏事,77,https://www.douban.com/group/topic/178192756/
653,豆友21,有人也想家里蹲吗,10,https://www.douban.com/group/topic/180295669/
654,是馒头啊,走进体制内的小镇做题家,61,https://www.douban.com/group/topic/178460968/
